Sistema de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petróleos Mexicanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaboración de productos Petroquímicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(miles de toneladas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REALES-MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroquimicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivados del Metano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anh. Carbonico,52.03501664,42.2703034,95.51737146,55.20047406,54.46254443,66.53940174,53.75766153,52.06100001,51.606,52.78399999,48.14599998,48.59985574,85.62139972,97.80929847,77.58738218,54.58448895,56.14482264,54.15753,56.17290638,54.69165678,51.67459176,55.15591263,53.57794548,61.39093488,103.4582314,97.89576003,61.30046832,105.6648303,112.2842962,65.06829678,63.37050268,73.12981787,105.7510347,103.2862306,107.3500811,112.0950778,114.5640337,112.0830197,120.8343134,108.3481719,119.436022,99.81637236,116.4973115,117.894574,106.5554494,85.38397571,68.58413169,113.7364305,117.3931343,106.3573099,116.9256703,97.55262564,66.40895587,102.2534216,96.53467264,94.51567534,103.505261,77.23848124,99.02501514,124.1929543,125.480819,95.01564321,112.4373299,110.3276001,127.3647213,125.5559099,123.5452202,81.66112721,111.7496224,125.5704548,123.52874,127.756692,129.3376938,116.6006342,129.5019415,122.8835961,84.15284217,97.77199269,83.04042487,102.6189139,115.2917352,124.4331002,99.42131361,97.61812924,128.7784744,118.4913529,127.7356973,118.4493246,118.1254189,103.4194024,118.5983638,117.332219,95.14752753,65.2967933,147.7403475,136.0277087,137.1173151,112.5954158,116.9717534,120.7253493,128.4434847,103.7391091,128.3857729,118.0871171,110.446537,109.1081609,97.9763637,113.1825454,146.2939369,124.9822355,108.6774441,120.3540594,124.4018615,119.8014745,104.8050781,84.74455008,88.29865299,102.382219,103.145549,109.1904597,120.7276252,112.5389024,124.1489748,72.49449036,73.55474839,66.08675688,67.44868667,64.00057387,64.27522113,47.34379102,52.07537187,98.23750255,60.90274803,76.52439859,110.4395657,59.45591133,58.08088477,57.79737411,93.49246144,102.0539411,60.12063066,60.76136741,77.74539567,79.53275975,88.55022807,84.12768647,76.69240223,54.06481836,71.6072149,96.44834907,84.03554865,67.48576462,79.31824167,70.32927031,84.04858149,70.36836196,74.44820491,50.09998454,50.63849225,53.78193036,69.72214101,30.84747864,61.13292938,35.29280166,8.96357193,5.665680001,2.68069689,8.284864483,3.866950633,5.622325016,7.979321012,7.53545385,6.341629266,6.7976484,8.052425212,6.654563509,5.59927359,5.799637666,1.48988511,11.77961786,6.725872189,42.80564355,31.4648671,44.12407452,41.81721673,5.67958407,3.803005135,2.250173564,10.27202994,50.81035141,49.21479399,28.2630034
Amoniaco,43.46536,22.31746997,74.38000001,41.09594001,41.66157,46.84322001,43.58990002,42.8245,43.07270001,42.22480001,35.35029999,36.91910001,65.3971,80.1773,63.63390001,43.31960001,44.69810001,42.8907,44.60680002,44.45639999,32.76310002,44.26250001,42.52599999,43.03500002,72.67940003,70.29739998,37.21272001,70.20139998,78.82407002,34.16724,41.06883999,44.41973003,75.6033,64.54946,84.23673,86.5143,87.61540001,80.85980001,85.12680002,64.83844998,81.61950001,74.67729999,77.7784,85.50460002,74.45079999,57.83269998,42.51861999,83.39659999,86.28741001,77.89090999,78.18846,66.13740999,44.09266,67.63772001,64.16809998,65.28899999,64.88869998,43.95596001,54.66275001,76.83089002,81.93587001,55.37521998,74.67695,65.94972999,83.18005002,78.95153001,82.87988,44.25029001,70.87955001,89.58159999,84.05076,87.16785998,89.20693998,81.11348,89.50474002,84.40808001,51.07232001,56.47473999,51.6476,71.71815999,85.28855001,89.93584,65.48949999,51.47489001,88.96478,83.18759002,83.94214001,77.86957002,76.46327001,66.52824999,78.84934001,79.77426999,68.56965,42.37712,98.09493003,94.49052997,96.3526,75.41864999,79.46509,82.61468997,84.75410001,61.5006,78.41987001,79.10933998,75.8775,75.56291999,61.04207004,71.44062,97.14243003,85.31219004,68.80217999,71.42439,78.48668998,82.80774,68.68666999,53.57235001,60.74529003,68.43215999,68.11806999,65.58424,83.40464003,65.60217,78.91016002,41.81358,44.21564001,35.92505001,40.48584999,36.1253,34.38072999,21.91245999,34.26964002,58.43595003,37.49023,48.39497,76.76167002,37.46151999,34.57874001,32.28319002,52.38502999,64.41817999,28.20924,30.64099997,47.97157002,42.15504,55.13667,46.95496999,42.72907001,35.96897001,35.11730998,47.76492,43.65767997,35.20250998,42.69598002,40.40407004,45.10446999,28.93635998,27.98329003,16.212,20.12947,28.12712001,25.99713999,0,18.37600001,14.29549999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2743,5.501000003,20.82405,12.45082001,0,0,0,0,33.50400001,33.72958002,18.06716
Metanol,12.282312,12.77081999,9.83250405,5.92988301,13.72799,17.87722194,8.740639596,N/D,N/D,N/D,N/D,N/D,12.44953199,10.06215,N/D,N/D,14.21489001,11.94678999,N/D,N/D,5.09385999,15.01867999,14.6037,1.965299994,0,0,0,0,0,0,0,0,0,0,0.29030001,11.88137,14.65561202,14.15226799,15.18098399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57453,15.35268499,5.829469989,13.8784,15.219811,14.090289,7.290397999,13.568259,12.72806599,15.36192501,9.43361499,15.38368599,13.95851601,13.83510399,5.377948944,14.894535,15.09650899,13.99671099,15.26228,14.26071699,11.8163572,15.39231192,12.448644,14.302788,11.44518501,6.959910006,15.86941001,12.992473,11.30265999,14.46729,9.159899995,15.23926401,15.77809099,15.40756002,4.29201099,11.06568501,15.39025101,15.65336999,15.593605,14.13619701,14.878969,14.93584401,15.43305101,14.84332299,14.854367,15.18851299,14.91865299,15.32692601,2.83206699,15.17198401,15.47383399,13.603131,15.43912201,14.906907,12.17769299,15.03304701,15.53021,15.471158,14.89608501,13.24022602,2.41939101,12.74225801,8.820570988,14.65029499,15.55463899,14.924325,12.019801,13.15824501,15.548337,10.21551801,15.16818801,15.37088702,0.580506,9.110242986,15.40784001,13.993941,9.171304988,2.94777099,11.21354801,0.84610599,14.79640999,15.41316199,7.71538101,12.51182701,2.09330499,9.735258011,13.45570999,5.907480012,15.45296999,14.98242,15.48286999,14.97728001,15.42465001,15.29924,14.52779001,14.53872001,1.46178,6.848220013,15.03083,13.82396,13.39222999,2.75082999,14.07782001,14.53610001,7.079620009,10.27198001,12.91026999,13.36840001,12.52860999,11.71324999,4.88060001,12.81936001,13.71688,14.40176001,12.33479999,14.3643,13.90825999,12.60692999,12.43482999,13.29250001,3.42743001,9.899880008
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
