Sistema de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petróleos Mexicanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precio público ponderado de productos petrolíferos seleccionados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigente a partir de 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(pesos por metro cubico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REALES-MENSUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ene-05,feb-05,mar-05,abr-05,may-05,jun-05,jul-05,ago-05,sep-05,oct-05,nov-05,dic-05,ene-06,feb-06,mar-06,abr-06,may-06,jun-06,jul-06,ago-06,sep-06,oct-06,nov-06,dic-06,ene-07,feb-07,mar-07,abr-07,may-07,jun-07,jul-07,ago-07,sep-07,oct-07,nov-07,dic-07,ene-08,feb-08,mar-08,abr-08,may-08,jun-08,jul-08,ago-08,sep-08,oct-08,nov-08,dic-08,ene-09,feb-09,mar-09,abr-09,may-09,jun-09,jul-09,ago-09,sep-09,oct-09,nov-09,dic-09,ene-10,feb-10,mar-10,abr-10,may-10,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,dic-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,oct-11,nov-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12,jun-12,jul-12,ago-12,sep-12,oct-12,nov-12,dic-12,ene-13,feb-13,mar-13,abr-13,may-13,jun-13,jul-13,ago-13,sep-13,oct-13,nov-13,dic-13,ene-14,feb-14,mar-14,abr-14,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,oct-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pemex Magna,6159.876154,6183.858572,6222.064734,6250.577342,6262.211307,6270.971283,6300.031053,6309.944268,6339.373064,6369.955917,6374.286261,6420.749199,6483.707644,6501.005565,6549.719988,6672.150008,6669.310653,6679.009281,6694.735544,6713.594463,6722.413482,6684.206803,6688.828182,6736.245778,6748.330141,6765.866865,6847.289447,6896.815915,6929.375568,6948.372101,6983.223598,7007.099825,7045.895355,7044.631581,7045.387274,7044.145985,7014.803371,7032.66033,7076.555618,7095.877841,7109.375275,7134.145269,7210.33,7292.47,7354.3,7440.46,7510.36,7467.42,7308.17,7607.91913,7632.966444,7622.07,7635.430326,7688.846966,7664.751319,7660.88,7666.805222,7666.75489,7664.13559,7678.17078,7807.9295,7869.85,7957.514066,8040.947,8110.78189,8177.776667,8266.598556,8333.467889,8421.492778,8505.533407,8569.821111,8659.048681,8741.092857,8815.598587,8902.361778,8982.732111,9046.528681,9104.919121,9220.120326,9290.032065,9379.559778,9464.782198,9527.95011,9623.326,9695.849783,9799.363351,9895.161333,9964.13663,10069.97089,10159.892,10238.37692,10340.05725,10439.455,10517.72878,10612.61297,10700.94132,10789.09322,10893.95833,11055.8833,11129.40066,11212.14681,11375.91506,11464.12891,11580.64626,11679.84824,11742.50528,11807.10758,12006.10392,12122.98736,12247.166,12356.8582,12449.91368,12565.12332,12625.01721,12729.59397,12804.30191,12843.47486,12913.5149,12928.9923,12859.70599,12986.60328,12988.98795,13150.39013,13197.59736,13244.72445,13319.01071,13330.14894,13336.96085,13323.5268,13257.96918,13188.01634,13118.11985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pemex Premium,7325.855548,7340.6251,7361.860769,7385.988794,7403.991251,7411.623753,7430.197541,7447.95685,7476.346561,7443.878937,7460.084625,7506.434647,7624.55329,7665.996453,7700.364432,7819.035249,7802.416265,7807.539514,7834.902362,7853.227889,7867.851841,7865.727115,8052.886526,8259.73145,8273.691386,8302.379002,8360.974671,8406.613505,8434.616652,8462.22048,8497.740859,8530.519535,8566.760832,8610.813278,8651.278376,8693.320564,8673.857273,8726.630682,8771.578864,8811.186364,8851.6025,8897.535909,8949.097386,9024.34,9014.89,9277.96,9367.06,9271.99,9004.02,9370.793103,9413.418706,9382.43,9381.273908,9506.701163,9527.786667,9526.5,9523.479176,9508.0012,9522.61365,9529.47988,9597.33592,9643.92,9691.174878,9728.50506,9766.59235,9785.407381,9834.365952,9872.877529,9896.779405,9916.637647,9946.307738,10023.24965,10082.19506,10120.33529,10158.53235,10203.46494,10229.11593,10278.42235,10328.63226,10358.3,10406.16369,10444.41059,10481.21435,10530.24447,10565.00965,10627.08102,10679.88812,10712.62885,10780.30714,10833.3431,10875.82977,10942.35861,11028.49506,11101.79647,11197.10488,11294.97259,11396.71667,11496.7456,11644.432,11726.64141,11825.90671,11964.74365,12062.94977,12181.54271,12275.74353,12367.87744,12438.99518,12610.58647,12767.30604,12909.40853,13044.43401,13150.58394,13277.82916,13353.74261,13480.32667,13574.32729,13636.57322,13731.00071,13770.73196,13745.77383,13871.64809,13862.77856,14030.61364,14055.67902,14130.92712,14201.41138,14227.74615,14243.37664,14232.42841,14168.02743,14102.64031,14037.76817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pemex Diesel,5150.909907,5170.265398,5179.289513,5188.719385,5198.806648,5218.656968,5228.837617,5238.429184,5257.791165,5267.598863,5278.612364,5290.217966,5310.449782,5319.724345,5339.355691,5359.260179,5378.042684,5397.316292,5407.810166,5426.387162,5446.384853,5466.754398,5569.767606,5681.59315,5701.651788,5730.908603,5750.562732,5770.438418,5797.280625,5816.125033,5846.144931,5875.009689,5905.037988,5905.873972,5906.523997,5907.284568,5854.442444,5879.549556,5898.751319,5924.768,5954.293626,5991.809565,6056.435806,6197.02,6442.25,6644.97,6849.85,7061.24,7127.54,7489.887033,7554.52033,7602.63,7664.625217,7705.856923,7775.408,7803.35,7858.668462,7914.89802,7957.83319,8018.59582,8113.70489,8189.38,8277.836667,8340.082198,8410.62022,8493.343736,8560.815435,8639.600659,8746.22427,8815.728222,8874.907033,8975.694667,9067.213626,9142.953222,9221.072667,9276.034835,9352.743297,9455.755055,9538.706222,9606.63236,9690.721778,9778.407889,9845.927802,9939.583034,10020.68674,10117.41515,10214.06333,10277.90289,10385.152,10480.44742,10559.86033,10654.65567,10758.1436,10830.29244,10921.38244,11014.23378,11130.25364,11229.11607,11372.78888,11459.51539,11582.02045,11699.19618,11792.66944,11910.09461,11984.96944,12114.38889,12234.9011,12332.04819,12567.60073,12723.27863,12839.50007,12931.6437,13052.42313,13161.08901,13256.37041,13376.34987,13471.19064,13618.19324,13737.90492,13766.61516,14048.93352,14132.11258,14131.85634,14119.78137,14114.93656,14128.37664,14124.11621,14123.40356,14126.42739,14128.89958,14129.86207,14131.27505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Combustóleo pesado,1793.555814,1775.364624,1763.22009,1841.087821,2225.175906,2356.171317,2520.629166,2591.027683,2629.362859,2657.463014,2796.641986,2706.566402,2744.718242,2873.494555,3126.488538,3239.503215,3510.595831,3649.700161,3692.097496,3556.763358,3467.766559,3196.752131,3138.389701,2898.241994,2690.101968,2585.364055,2611.993328,2706.842875,2951.275572,3301.949342,3329.469551,3494.765179,3673.754879,3977.914515,4156.029258,4291.324363,4804.355018,4799.951612,4962.53803,5016.228445,5082.197219,5283.843792,5872.165919,6873.64021,6574.633513,6691.475438,5887.516038,5409.041325,3984.775539,3386.073615,3445.813315,3645.774999,3771.022966,4289.389648,4950.923439,5690.435134,5781.376816,5971.293517,6173.673083,6306.80739,6497.290781,6302.69805,6344.6026,6261.53827,6127.873747,6131.169002,6009.942024,5892.385101,5931.072987,5927.717135,6020.657588,6152.367015,6218.628375,6509.076877,6897.575837,7446.051273,7968.864476,8277.422281,7857.629898,8270.662092,8342.461001,8477.016809,9243.349462,9526.176909,9712.90889,9315.451691,9662.847143,9857.602995,9838.444599,9851.158085,9452.387252,8585.053582,8762.606206,9052.254077,9043.338272,8703.167543,8533.975494,8348.020595,8506.96837,8600.000617,8112.916047,7928.441979,7882.258698,7947.732136,8283.584441,8263.111644,8418.570103,8303.481768,8287.454188,8232.610708,7383.419035,7467.140083,7559.556611,7616.028138,8346.530187,8416.402856,8360.922039,8048.369549,8026.502736,6789.216067,5657.836107,4776.516447,4435.166994,4998.244636,4751.668053,4920.867428,5650.657831,5609.084073,4948.803317,4202.008339,4231.137276,4021.734849,3366.910374,2511.721417,2394.341589,2373.228527,2717.680255,2870.196405,3357.160959,3855.285293,3889.704998,3719.907066,4251.669206,4480.352975,5254.697289,6219.211818,6640.137394,6141.154424,5410.545306,5641.602132,5986.487893,4890.589352,5465.884774,5686.827289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diesel Marino Nacional,5099.08074,5098.68917,5099.45093,5108.292171,5124.834765,5159.367531,5158.810004,5151.290816,5190.339743,5182.185016,5194.983857,5205.069783,5221.269438,5165.63935,5224.291818,5259.435287,5260.725698,5287.283302,5287.877854,5321.550904,5330.839199,5344.044762,5592,5704,5585.200134,5585.303383,5645.136675,5628.895759,5678.241295,5715.94248,5705.074061,5777.915099,5784.223127,5754.681061,5761.843949,5750.88322,5767.975751,5827.92628,5802.10971,5826.580296,5849.122996,5898.369172,6039.144402,6217.923853,6431.520785,6648.513181,6828.115431,7029.918282,7286.132384,7399.588154,7446.418617,7562.521622,7650.238411,7629.557597,7717.415149,7775.812419,7831.389332,7866.338737,7871.41662,7929.050347,8079.609563,8097.820255,8218.085504,8309.361332,8377.702623,8476.828903,8525.127932,8612.072956,8679.354483,8775.360101,8891.058113,8958.174502,9047.162337,9103.534289,9242.981431,9329.605754,9415.700217,9456.350518,9548.096775,9590.411149,9667.745807,9767.18077,9858.327242,9909.657513,10013.29168,10141.52922,10269.71823,10295.14326,10381.17048,10557.57226,10560.87708,10658.40551,10778.28707,10913.5516,11026.38346,11139.13792,11246.13511,11358.5044,11477.04164,11582.62332,11736.58312,11840.24613,11898.79548,12048.44881,12145.8374,12265.62523,12394.68388,12468.6084,12673.04551,12781.34472,12911.50483,13016.41807,13164.11437,13173.44901,13367.48522,13507.68774,13610.45557,13636.68384,13820.89606,13916.67182,14199.92521,14235.74083,14191.12934,14187.07998,14217.70004,14191.4735,14179.76451,14200.18826,14191.37006,14204.23294,14171.99206,14166.35766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16332.47629,16717.68053,16922.49716,16961.82865,17041.32159,17242.48114,17555.95233,18010.33724,18201.15405,18463.25372,18581.19619,18133.89145,18313.86372,19304.14447,18654.323,18776.50649,18600.83779,18335.25416,18609.20912,18628.8684,19085.2141,18634.75074,18742.76898,18997.53967,18898.88957,17987.34336,16630.08405,15362.32241,15316.59737,16736.8558,17591.05111,17365.85878,16409.17892,15871.95202,15987.17565,16750.14907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Sistema de Información Energética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
